"","age","animal.id","MouseID","Sex","Genotype","values","assay","experiment.date","gram.values","gest.age","postnatal"
"70",90,27210,"1831","F","+/+",17900,"Body Weight",2021-08-03,17.9,-4.5,"n"
"71",97,27210,"1831","F","+/+",19600,"Body Weight",2021-08-10,19.6,3.5,"n"
"72",104,27210,"1831","F","+/+",21500,"Body Weight",2021-08-17,21.5,10.5,"n"
"73",110,27210,"1831","F","+/+",27000,"Body Weight",2021-08-23,27,16.5,"n"
"74",111,27210,"1831","F","+/+",28600,"Body Weight",2021-08-24,28.6,17.5,"n"
"75",114,27210,"1831","F","+/+",22300,"Body Weight",2021-08-27,22.3,20.5,"y"
"76",118,27210,"1831","F","+/+",22900,"Body Weight",2021-08-31,22.9,24.5,"y"
"77",125,27210,"1831","F","+/+",24600,"Body Weight",2021-09-07,24.6,31.5,"y"
"78",131,27210,"1831","F","+/+",24700,"Body Weight",2021-09-13,24.7,37.5,"y"
"79",97,27212,"1833","F","+/+",18700,"Body Weight",2021-08-10,18.7,-4.5,"n"
"80",104,27212,"1833","F","+/+",19800,"Body Weight",2021-08-17,19.8,3.5,"n"
"81",111,27212,"1833","F","+/+",22100,"Body Weight",2021-08-24,22.1,10.5,"n"
"82",118,27212,"1833","F","+/+",29900,"Body Weight",2021-08-31,29.9,17.5,"n"
"83",120,27212,"1833","F","+/+",22300,"Body Weight",2021-09-02,22.3,19.5,"y"
"84",125,27212,"1833","F","+/+",24600,"Body Weight",2021-09-07,24.6,24.5,"y"
"85",135,27212,"1833","F","+/+",25400,"Body Weight",2021-09-17,25.4,34.5,"y"
"86",138,27597,"2086","F","+/+",24100,"Body Weight",2021-11-11,24.1,16.5,"n"
"87",141,27597,"2086","F","+/+",20600,"Body Weight",2021-11-14,20.6,19.5,"y"
"88",157,27597,"2086","F","+/+",22800,"Body Weight",2021-11-30,22.8,35.5,"y"
"89",118,27597,"2086","F","+/+",18800,"Body Weight",2021-10-22,18.8,-4.5,"n"
"90",125,27597,"2086","F","+/+",18500,"Body Weight",2021-10-29,18.5,3.5,"n"
"91",132,27597,"2086","F","+/+",20500,"Body Weight",2021-11-05,20.5,10.5,"n"
"92",139,27597,"2086","F","+/+",26100,"Body Weight",2021-11-12,26.1,17.5,"n"
"93",146,27597,"2086","F","+/+",22200,"Body Weight",2021-11-19,22.2,24.5,"y"
"94",154,27597,"2086","F","+/+",23600,"Body Weight",2021-11-27,23.6,32.5,"y"
"95",140,27766,"2210","F","+/+",29700,"Body Weight",2021-11-29,29.7,16.5,"n"
"96",123,27766,"2210","F","+/+",21400,"Body Weight",2021-11-12,21.4,-1.5,"n"
"97",130,27766,"2210","F","+/+",22700,"Body Weight",2021-11-19,22.7,6.5,"n"
"98",138,27766,"2210","F","+/+",28100,"Body Weight",2021-11-27,28.1,14.5,"n"
"99",144,27766,"2210","F","+/+",25300,"Body Weight",2021-12-03,25.3,21.5,"y"
"100",151,27766,"2210","F","+/+",25600,"Body Weight",2021-12-10,25.6,29.5,"y"
"101",161,27766,"2210","F","+/+",28300,"Body Weight",2021-12-20,28.3,39.5,"y"
"102",81,27767,"2211","F","-/-",21200,"Body Weight",2021-10-01,21.2,-4.5,"n"
"103",88,27767,"2211","F","-/-",22600,"Body Weight",2021-10-08,22.6,3.5,"n"
"104",96,27767,"2211","F","-/-",24700,"Body Weight",2021-10-16,24.7,11.5,"n"
"105",101,27767,"2211","F","-/-",27100,"Body Weight",2021-10-21,27.1,16.5,"n"
"106",102,27767,"2211","F","-/-",28800,"Body Weight",2021-10-22,28.8,17.5,"n"
"107",109,27767,"2211","F","-/-",20400,"Body Weight",2021-10-29,20.4,24.5,"y"
