sex,ID,cage,treatment,cohort,week,Body Weight,Total Fat Mass,Lean Mass,Free Water,"NA"
female,8690,2032,eTRF,1,8,20.8,1.84,16.89,0.01,NA
female,8690,2032,eTRF,1,20,40.1,18.12,21.22,NA,NA
male,452,me-2,eTRF,2,1,13.9,1.3166666666666667,11.38,NA,NA
male,452,me-2,eTRF,2,8,27.7,1.32,24.39,NA,NA
male,452,me-2,eTRF,2,20,39.9,11.56,25.76,NA,NA
male,453,me-2,eTRF,2,1,14.233333333333334,0.7366666666666667,12.513333333333334,NA,NA
male,453,me-2,eTRF,2,8,27.6,1.23,24.77,NA,NA
male,453,me-2,eTRF,2,20,42.7,14.02,26.17,NA,NA
female,454,fe-1,eTRF,2,1,11.533333333333333,1.0433333333333334,9.4,NA,NA
female,454,fe-1,eTRF,2,8,18.2,1.81,14.32,NA,NA
female,454,fe-1,eTRF,2,20,NA,7.09,18.98,NA,NA
female,455,fe-1,eTRF,2,1,11.066666666666666,0.9033333333333333,9.13,NA,NA
female,455,fe-1,eTRF,2,8,20,2.34,15.98,NA,NA
female,455,fe-1,eTRF,2,20,34,11.26,20.91,NA,NA
male,456,ma-1,AL,2,1,11.7,0.7849999999999999,9.92,NA,NA
male,456,ma-1,AL,2,8,24.4,1.18,21.02,NA,NA
male,456,ma-1,AL,2,20,42,11.64,27.4,NA,NA
female,458,fa-1,AL,2,1,10.350000000000001,1.025,8.18,NA,NA
female,458,fa-1,AL,2,8,19.4,2,15.74,NA,NA
female,458,fa-1,AL,2,20,32.6,10.89,19.21,NA,NA
female,459,fa-1,AL,2,1,8.8,0.825,7.23,NA,NA
female,459,fa-1,AL,2,8,18.5,1.64,15.28,NA,NA
female,459,fa-1,AL,2,20,31,10.38,18.53,NA,NA
male,460,ma-1,AL,2,1,12.899999999999999,0.89,11.125,NA,NA
male,460,ma-1,AL,2,8,24.8,2.17,20.85,NA,NA
male,461,ma-1,AL,2,1,13.55,0.525,11.364999999999998,NA,NA
male,461,ma-1,AL,2,8,24.8,1.74,20.35,NA,NA
female,462,fa-1,AL,2,1,11.65,0.655,9.274999999999999,NA,NA
female,462,fa-1,AL,2,8,21.1,1.63,17.56,NA,NA
female,463,fa-1,AL,2,1,11.2,0.935,9.615,NA,NA
female,463,fa-1,AL,2,8,19.8,1.53,16.42,NA,NA
male,464,me-1,eTRF,2,1,11.1,1.295,8.545,NA,NA
male,464,me-1,eTRF,2,8,23.6,1.38,20,NA,NA
male,464,me-1,eTRF,2,20,41.9,14.4,24.49,NA,NA
male,465,me-1,eTRF,2,1,11.2,0.52,9.71,NA,NA
male,465,me-1,eTRF,2,8,24.3,0.93,20.82,NA,NA
male,465,me-1,eTRF,2,20,36.7,2.23,25.52,NA,NA
female,466,fe-1,eTRF,2,1,10.75,0.9750000000000001,8.48,NA,NA
female,466,fe-1,eTRF,2,8,18.8,1.38,15.58,NA,NA
female,466,fe-1,eTRF,2,20,26.1,6.6,19.01,NA,NA
