food.consumed,kcals.consumed,day,ID,treatment,food.cumulative,pregnancy,gest.day,cohort
3.5999999999999943,10.475999999999983,17,128,AL,122.65650000000022,1,5,2
-3.6000000000000227,-10.476000000000067,17,146,AL,105.05100000000012,1,7,2
6.300000000000011,18.333000000000034,17,2321,eTRF,396.0510000000002,1,7,3
1.6000000000000227,4.656000000000066,17,2323,AL,212.13900000000015,1,7,3
5.599999999999994,16.295999999999985,17,2324,eTRF,265.683,1,2,3
1.6000000000000227,4.656000000000066,17,2335,AL,412.4925,1,5,3
6.699999999999989,19.496999999999968,17,2333,eTRF,460.7985000000001,1,8,3
5.1000000000000085,14.841000000000026,17,2334,eTRF,344.2529999999998,1,3,3
2.1999999999999886,6.401999999999967,17,2337,AL,155.97600000000023,1,8,3
1.8000000000000114,5.238000000000033,17,2340,AL,126.87600000000025,1,2,3
1.1999999999999886,3.491999999999967,18,7827,AL,220.25789999999984,1,9,1
1.4000000000000057,4.074000000000017,18,7830,AL,149.57400000000027,1,10,1
1.9000000000000057,5.529000000000017,18,7829,AL,266.7015,1,10,1
4.7999999999999545,13.967999999999869,18,7864,eTRF,219.99599999999978,1,10,1
4.199999999999989,12.221999999999968,18,7826,eTRF,408.70950000000016,1,10,1
5.100000000000023,14.841000000000067,18,7835,eTRF,263.35500000000013,1,2,1
4,11.64,18,7833,eTRF,284.16149999999993,1,5,1
1.5499999999999972,4.5104999999999915,18,7863,AL,516.8160000000001,2,-2,1
2.549999999999983,7.420499999999951,18,7843,AL,146.51850000000024,2,0,1
1.6000000000000085,4.6560000000000255,18,7834,AL,NA,2,-4,1
3.049999999999997,8.875499999999992,18,7862,eTRF,408.41849999999994,2,0,1
1.6000000000000085,4.6560000000000255,18,7822,eTRF,355.311,2,-2,1
3.299999999999997,9.602999999999993,18,7841,eTRF,467.78249999999997,2,-1,1
4.100000000000023,11.931000000000067,18,7838,eTRF,411.76500000000004,2,-6,1
3.5,10.185,18,119,eTRF,360.4035,1,6,2
4,11.64,18,118,eTRF,-347.5994999999999,1,3,2
-0.4000000000000057,-1.1640000000000166,18,124,eTRF,252.58800000000022,1,9,2
-35.5,-103.305,18,134,eTRF,83.95349999999974,1,5,2
99.10000000000002,288.3810000000001,18,143,AL,382.08300000000037,1,5,2
-86.30000000000001,-251.13300000000004,18,123,AL,-156.8490000000001,1,4,2
1.9000000000000057,5.529000000000017,18,128,AL,128.18550000000025,1,6,2
0.7000000000000455,2.0370000000001323,18,146,AL,107.08800000000025,1,8,2
6.199999999999989,18.041999999999966,18,2321,eTRF,414.0930000000002,1,8,3
1.5999999999999943,4.655999999999984,18,2323,AL,216.79500000000013,1,8,3
4.599999999999994,13.385999999999983,18,2324,eTRF,279.069,1,3,3
2.2999999999999545,6.692999999999868,18,2335,AL,419.1854999999999,1,6,3
7.399999999999977,21.533999999999935,18,2333,eTRF,482.33250000000004,1,9,3
5.1000000000000085,14.841000000000026,18,2334,eTRF,359.0939999999999,1,4,3
2.2999999999999545,6.692999999999868,18,2337,AL,162.6690000000001,1,9,3
1.6000000000000227,4.656000000000066,18,2340,AL,131.5320000000003,1,3,3
1.3000000000000114,3.7830000000000332,19,7827,AL,224.04089999999985,1,10,1
0.9000000000000057,2.6190000000000166,19,7830,AL,152.1930000000003,1,11,1
1.6999999999999886,4.946999999999967,19,7829,AL,271.6485,1,11,1
4,11.64,19,7864,eTRF,231.6359999999998,1,11,1
3.5999999999999943,10.475999999999983,19,7826,eTRF,419.1855000000001,1,11,1
3.5,10.185,19,7835,eTRF,273.54000000000013,1,3,1
3.099999999999966,9.020999999999901,19,7833,eTRF,293.18249999999983,1,6,1
1.0999999999999943,3.2009999999999836,19,7863,AL,520.0170000000002,2,-1,1
1.6000000000000227,4.656000000000066,19,7843,AL,151.1745000000003,2,1,1
1.4500000000000028,4.219500000000009,19,7834,AL,NA,2,-3,1
4.400000000000006,12.804000000000018,19,7862,eTRF,421.22249999999997,2,1,1
3.8500000000000085,11.203500000000025,19,7822,eTRF,366.5145,2,-1,1
3.6499999999999915,10.621499999999976,19,7841,eTRF,478.40399999999994,2,0,1
3.6000000000000085,10.476000000000026,19,7838,eTRF,422.24100000000004,2,-5,1
3.5,10.185,19,119,eTRF,370.5885,1,7,2
4.400000000000006,12.804000000000018,19,118,eTRF,-334.7954999999999,1,4,2
6.300000000000011,18.333000000000034,19,124,eTRF,270.9210000000002,1,10,2
3.6999999999999886,10.766999999999967,19,134,eTRF,94.7204999999997,1,6,2
2.1000000000000227,6.111000000000066,19,143,AL,388.1940000000004,1,6,2
1.799999999999983,5.237999999999951,19,123,AL,-151.61100000000016,1,5,2
3.0999999999999943,9.020999999999983,19,128,AL,137.20650000000023,1,7,2
2.6999999999999886,7.856999999999967,19,146,AL,114.94500000000022,1,9,2
7.900000000000006,22.98900000000002,19,2321,eTRF,437.0820000000002,1,9,3
1.8000000000000114,5.238000000000033,19,2323,AL,222.03300000000016,1,9,3
4.75,13.822500000000002,19,2324,eTRF,292.8915,1,4,3
1.5,4.365,19,2335,AL,423.5504999999999,1,7,3
8.399999999999977,24.443999999999935,19,2333,eTRF,506.77649999999994,1,10,3
5.049999999999997,14.695499999999992,19,2334,eTRF,373.78949999999986,1,5,3
3.3000000000000114,9.603000000000034,19,2337,AL,172.27200000000013,1,10,3
1.7000000000000455,4.947000000000132,19,2340,AL,136.47900000000044,1,4,3
2.5,7.275,20,7827,AL,231.31589999999986,1,11,1
2.8000000000000114,8.148000000000033,20,7830,AL,160.34100000000032,1,12,1
1.8000000000000114,5.238000000000033,20,7829,AL,276.8865,1,12,1
5.2999999999999545,15.422999999999869,20,7864,eTRF,247.05899999999966,1,12,1
4.599999999999994,13.385999999999983,20,7826,eTRF,432.5715000000001,1,12,1
4.200000000000017,12.222000000000051,20,7835,eTRF,285.76200000000017,1,4,1
